Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSMUSG00000021948,Prkcd,Gene Expression,0.875657804383923,0.0,0.0,20160,8.71487596412313,1016
ENSMUSG00000053310,Nrgn,Gene Expression,0.8532873207286615,0.0,0.0,63710,22.554467392414253,1933
ENSMUSG00000059213,Ddn,Gene Expression,0.8508311806844407,0.0,0.0,34940,17.446306290362713,1836
ENSMUSG00000070570,Slc17a7,Gene Expression,0.8496920190758643,0.0,0.0,104724,39.34352326180116,2109
ENSMUSG00000090121,Abhd12b,Gene Expression,0.8446100046246708,0.0,0.0,2505,1.044942877990239,374
ENSMUSG00000061808,Ttr,Gene Expression,0.8434694182415897,0.0,0.0,1252649,266.5691975173336,2222
ENSMUSG00000064179,Tnnt1,Gene Expression,0.8392006334808242,0.0,0.0,4954,2.181069199379885,606
ENSMUSG00000046093,Hpcal4,Gene Expression,0.824092320102116,0.0,0.0,50657,22.311165911920373,2097
ENSMUSG00000037126,Psd,Gene Expression,0.8153473775228588,0.0,0.0,46862,21.540813195633895,2133
ENSMUSG00000046447,Camk2n1,Gene Expression,0.8032551120200513,0.0,0.0,183622,75.95293267555269,2308
ENSMUSG00000024617,Camk2a,Gene Expression,0.7998302201482406,0.0,0.0,82530,38.85945319999121,2218
ENSMUSG00000020732,Rab37,Gene Expression,0.7898906406937618,0.0,0.0,2376,1.0419836484954967,538
ENSMUSG00000048644,Ctxn1,Gene Expression,0.7892910293499562,0.0,0.0,36501,14.710073455618081,2166
ENSMUSG00000032517,Mobp,Gene Expression,0.785042816957519,0.0,0.0,65239,42.53546084766232,2104
ENSMUSG00000032368,Zic1,Gene Expression,0.7848837304351015,0.0,0.0,7856,3.251398146095268,936
ENSMUSG00000041046,Ramp3,Gene Expression,0.7838719190398422,0.0,0.0,5880,2.476805315315096,986
ENSMUSG00000050315,Synpo2,Gene Expression,0.7825152539444934,0.0,0.0,3227,1.4327725911645457,653
ENSMUSG00000022602,Arc,Gene Expression,0.7815183875890034,0.0,0.0,19624,7.822800107463873,1766
ENSMUSG00000032532,Cck,Gene Expression,0.7638899409788479,0.0,0.0,59675,22.118059251441252,2060
ENSMUSG00000038331,Satb2,Gene Expression,0.7630738986322104,0.0,0.0,5011,1.7813562400484813,920
ENSMUSG00000024985,Tcf7l2,Gene Expression,0.7626170806364408,0.0,0.0,3629,1.5559378878962402,749
ENSMUSG00000041607,Mbp,Gene Expression,0.7603733812388034,0.0,0.0,148595,93.22740393593688,2285
ENSMUSG00000026475,Rgs16,Gene Expression,0.7601282476617005,0.0,0.0,5075,2.187904330079554,975
ENSMUSG00000030500,Slc17a6,Gene Expression,0.7577278811917854,0.0,0.0,5764,2.3215826443922274,1005
ENSMUSG00000040624,Plekhg1,Gene Expression,0.7575517752027149,0.0,0.0,9212,4.177755873143206,1194
ENSMUSG00000067879,Vxn,Gene Expression,0.7560763925768695,0.0,0.0,18292,6.917816810795479,1651
ENSMUSG00000026833,Olfm1,Gene Expression,0.7534802384104368,0.0,0.0,117102,44.03168682428953,2293
ENSMUSG00000027296,Itpka,Gene Expression,0.7530315180117477,0.0,0.0,14998,5.604788215033587,1584
ENSMUSG00000059857,Ntng1,Gene Expression,0.7525034043835149,0.0,0.0,4249,1.7985068499064338,868
ENSMUSG00000027273,Snap25,Gene Expression,0.7515504491880131,0.0,0.0,170430,61.80438055820393,2285
ENSMUSG00000022949,Clic6,Gene Expression,0.7436299093862979,0.0,0.0,15363,3.6258069363374243,519
ENSMUSG00000090223,Pcp4,Gene Expression,0.7432695653690611,0.0,0.0,45381,18.73287812673145,2081
ENSMUSG00000022421,Nptxr,Gene Expression,0.7352087919833408,0.0,0.0,33289,12.694093876239512,2059
ENSMUSG00000025372,Baiap2,Gene Expression,0.7324535138345298,0.0,0.0,20044,7.588640885179225,1841
ENSMUSG00000032174,Icam5,Gene Expression,0.7323726794881054,0.0,0.0,13676,5.21122588028026,1632
ENSMUSG00000028785,Hpca,Gene Expression,0.7284642675933264,0.0,0.0,53644,18.238589129827012,2144
ENSMUSG00000005583,Mef2c,Gene Expression,0.7276388985331415,0.0,0.0,20031,7.400637981535942,1839
ENSMUSG00000026259,Ngef,Gene Expression,0.7252111399126022,0.0,0.0,22377,8.683983256294221,1982
ENSMUSG00000009075,Cabp7,Gene Expression,0.724757801500125,0.0,0.0,8028,4.311934773100878,1184
ENSMUSG00000031425,Plp1,Gene Expression,0.7203002971749223,0.0,0.0,79160,50.20262748813321,2155
ENSMUSG00000041773,Enc1,Gene Expression,0.7177478918094825,0.0,0.0,42344,15.335518424627265,2111
ENSMUSG00000032238,Rora,Gene Expression,0.7175352325960506,0.0,0.0,14599,6.166442375542182,1867
ENSMUSG00000033066,Gas7,Gene Expression,0.7168301420245102,0.0,0.0,24413,9.650807262307676,2082
ENSMUSG00000025867,Cplx2,Gene Expression,0.7165961639536625,0.0,0.0,23597,9.833164876476644,2016
ENSMUSG00000010825,Grid2ip,Gene Expression,0.7156673342161449,0.0,0.0,1366,0.582373937426466,483
ENSMUSG00000067786,Nnat,Gene Expression,0.7135861603199546,0.0,0.0,24097,11.395814906309466,1883
ENSMUSG00000058624,Gda,Gene Expression,0.7108802976156748,0.0,0.0,11016,4.226768511864719,1569
ENSMUSG00000027270,Lamp5,Gene Expression,0.7105629466768733,0.0,0.0,7723,2.6689022355317578,1169
